,fold-1,fold-2,fold-3,fold-4,fold-5
MNDF,0.75922105,0.75522105,0.76002105,0.75761043,0.76114742
APF,0.76981053,0.77785263,0.77183158,0.77952756,0.77540107
APF+MNDF,0.79212632,0.78602105,0.78703158,0.78984378,0.79047539
GF,0.97574737,0.97461053,0.97414737,0.9760411,0.97343046
GF+MNDF,0.97372632,0.97498947,0.97452632,0.97465156,0.97456735
GF+APF,0.97448421,0.9744,0.97536842,0.9730936,0.97460946
GF+APF+MNDF,0.97406316,0.97477895,0.97469474,0.97347257,0.97389364
